University Name ,Course,Course Link,Deadline Link,Deadlines*
MIT,MS in Business Analytics,http://mitsloan.mit.edu/master-of-business-analytics/,http://mitsloan.mit.edu/master-of-business-analytics/admissions/apply/application-deadlines/,"Jan 10, 2022"
Columbia,MS in Business Analytics,https://msba.engineering.columbia.edu/,https://gradengineering.columbia.edu/graduate-admissions/application-requirements,"Jan 5, 2022."
UT Austin,MS in Business Analytics,https://www.mccombs.utexas.edu/Master-of-Science-in-Business-Analytics,https://www.mccombs.utexas.edu/Master-of-Science-in-Business-Analytics/Admissions/Application-Process,"Round 1 - October 18, 2021. Round 2 - 22 January, 2022"
Georgia Tech,MS in Analytics,https://analytics.gatech.edu/,https://analytics.gatech.edu/apply,"Jan 01, 2022"
UIUC,MS in Statistics- Analytics,https://stat.illinois.edu/academics/graduate-programs/degree-programs/ms-statistics-analytics,https://stat.illinois.edu/admissions/prospective-graduate-students,fall - April 1. Spring - September 15
Carnegie Mellon University,MISM BIDA,https://www.heinz.cmu.edu/programs/information-systems-management-master/bida,https://www.heinz.cmu.edu/admissions/information-systems-management/,Jan-10
UCLA,MS in Business Analytics,https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics/admissions,"Jan 10th (first deadline), March 10 (second deadline), May 31 (third deadline)"
Duke,MQM Business Analytics,https://www.fuqua.duke.edu/programs/mqm-business-analytics,https://www.fuqua.duke.edu/programs/mqm-business-analytics/admissions-facts-dates,"Oct 1 (round 1), Jan 15 (round 2), Feb 27 (round 3), April 6 (round 4)"
University of Cincinnati,MS in Business Analytics,https://business.uc.edu/academics/specialized-masters/business-analytics.html,https://business.uc.edu/academics/admissions/ms-business-analytics.html,Fall- Jan 31
Rutgers,Master of Information Technology and Analytics,http://www.business.rutgers.edu/information-technology-analytics,https://www.business.rutgers.edu/information-technology-analytics/admissions,"Fall- March 15, Spring- Oct 1"
Northeastern,Data Analytics Engineering,https://www.northeastern.edu/graduate/program/master-of-science-in-data-analytics-engineering-14810/,https://www.northeastern.edu/graduate/program/master-of-science-in-data-analytics-engineering-14810/,"Fall - Jan 15
 May 15
 Spring - Sept 15"
UT Dallas,MS in Business Analytics,https://jindal.utdallas.edu/isom/information-systems-programs/ms-business-analytics/,https://www.utdallas.edu/admissions/graduate/steps-to-admission/fees-and-deadlines/#application-deadlines,"Fall- Jan 15, May 15"
UIC,MS in Business Analytics,https://business.uic.edu/graduate-programs/graduate-degrees/master-science-business-analytics/,https://business.uic.edu/graduate-programs/graduate-degrees/master-science-business-analytics/,"Fall- Dec 15 (round 1), March 15 (round 2), April 1 (final)"
"University of Michigan, Dearborn",MS in Business Analytics,https://umdearborn.edu/cob/graduate-programs/degree-programs/ms-business-analytics,https://umdearborn.edu/cob/graduate-programs/admission,"Fall semester (September): August 1
 Winter semester (January): December 1
 Summer semester (May): April 1"
RIT,MS in Business Analytics,https://saunders.rit.edu/graduate/programs/business-analytics-master-science,https://saunders.rit.edu/admissions/graduate-admissions/admissions-requirements,Write to the University
University of Miami,MS in Business Analytics,https://www.bus.miami.edu/academic-programs/mba-masters/masters/business-analytics/index.html,https://www.bus.miami.edu/academic-programs/mba-masters/masters/application-information.html,Rolling Basis
University of Connecticut,MS in Business Analytics and Project Management,https://msbapm.business.uconn.edu/,https://grad.business.uconn.edu/instructions/deadlines-2-2/#,"Spring 2021- Sep 21 (early), Dec 16 (final), Fall- Feb 20"
San Francisco State University,MS in Business Analytics,https://cob.sfsu.edu/graduate-programs/business-analytics,https://cob.sfsu.edu/msba-application-checklist,"Fall- Jan 15, April 1"
University of South Florida,MS Business Analytics/Information Systems,https://www.usf.edu/business/graduate/masters/bais/,https://www.usf.edu/business/graduate/masters/bais/,"Spring: September 15 for international students
 Fall: June 1 for domestic and international applicants. The early application deadline is March 1."
