University Name ,Course,Course Link,Deadline Link,Deadlines*
University of Cincinnati,MS in Business Analytics,https://business.uc.edu/academics/specialized-masters/business-analytics.html,https://business.uc.edu/academics/admissions/ms-business-analytics.html,Fall- Jan 31
Rutgers,Master of Information Technology and Analytics,http://www.business.rutgers.edu/information-technology-analytics,https://www.business.rutgers.edu/information-technology-analytics/admissions,"Fall- March 15, Spring- Oct 1"
UIC,MS in Business Analytics,https://business.uic.edu/graduate-programs/graduate-degrees/master-science-business-analytics/,https://business.uic.edu/graduate-programs/graduate-degrees/master-science-business-analytics/,"Fall- Dec 15 (round 1), March 15 (round 2), April 1 (final)"
Arizona State University,MS in Business Analytics,https://wpcarey.asu.edu/masters-programs/business-analytics,https://wpcarey.asu.edu/masters-programs/business-analytics/deadlines,deadline not updated
"University of Michigan, Dearborn",MS in Business Analytics,https://umdearborn.edu/cob/graduate-programs/degree-programs/ms-business-analytics,https://umdearborn.edu/cob/graduate-programs/admission,"Fall semester (September): August 1
 Winter semester (January): December 1
 Summer semester (May): April 1"
Case Western Reserve,MSM Business Analytics,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/admission,"Fall- Nov 11, Jan 13, March 10, April 7 Spring- Oct 1, Oct 15"
Michigan State university,MS in Business Analytics,https://broad.msu.edu/masters/business-analytics/admissions/,https://broad.msu.edu/masters/business-analytics/admissions/,Spring intake only- Oct 15
Northeastern,Data Analytics Engineering,https://www.northeastern.edu/graduate/program/master-of-science-in-data-analytics-engineering-14810/,https://www.northeastern.edu/graduate/program/master-of-science-in-data-analytics-engineering-14810/,"Fall - Jan 15
 May 15
 Spring - Sept 15"
San Francisco State University,MS in Business Analytics,https://cob.sfsu.edu/graduate-programs/business-analytics,https://cob.sfsu.edu/msba-application-checklist,"Fall- Jan 15, April 1"
UT Dallas,MS in Business Analytics,https://jindal.utdallas.edu/isom/information-systems-programs/ms-business-analytics/,https://www.utdallas.edu/admissions/graduate/steps-to-admission/fees-and-deadlines/#application-deadlines,"Fall- Jan 15, May 15"
University of Connecticut,MS in Business Analytics and Project Management,https://msbapm.business.uconn.edu/,https://grad.business.uconn.edu/instructions/deadlines-2-2/#,"Spring 2021- Sep 21 (early), Dec 16 (final), Fall- Feb 20"
RIT,MS in Business Analytics,https://saunders.rit.edu/graduate/programs/business-analytics-master-science,https://saunders.rit.edu/admissions/graduate-admissions/admissions-requirements,Write to the University
University of South Florida,MS Business Analytics/Information Systems,https://www.usf.edu/business/graduate/masters/bais/,https://www.usf.edu/business/graduate/masters/bais/,"Spring: September 15 for international students
 Fall: June 1 for domestic and international applicants. The early application deadline is March 1."
Drexel University,MS in Business Analytics,https://www.lebow.drexel.edu/academics/graduate/master-of-science/ms-business-analytics,https://www.lebow.drexel.edu/admissions/graduate/application-requirements,"October 1, 2021."
DePaul University,MS in Business Analytics,https://business.depaul.edu/academics/management-entrepreneurship/graduate/business-analytics-ms/Pages/default.aspx,https://business.depaul.edu/academics/management-entrepreneurship/graduate/business-analytics-ms/Pages/default.aspx,"Fall - August 15, Spring - February 15."
Syracuse,MS in Business Analytics,https://whitman.syr.edu/programs-and-academics/programs/ms/Business-Analytics/index.aspx,https://whitman.syr.edu/programs-and-academics/programs/ms/Business-Analytics/admission/index.aspx,"Round 1- Nov 30, Round II – January 15
 Round III – March 1
 Round IV – April 19"
California State University East Bay,MS in Business Analytics,http://www.csueastbay.edu/msba/index.html,https://www2.calstate.edu/apply/Pages/application-dates-deadlines.aspx,"Fall - March 1,2022."
