University Name,Course Name,Course Link,Deadline,Deadline Link
Purdue,MS in Computer Science,https://www.cs.purdue.edu/graduate/,https://www.cs.purdue.edu/graduate/admission/steps.html,"Fall- Dec 20, Spring- Oct 1"
Texas A&M,MS in Computer Science,https://engineering.tamu.edu/cse/academics/degrees/ms-cs.html,https://engineering.tamu.edu/cse/academics/degrees/graduate/faq.html#status,"December 15 is the deadline for Ph.D. applications to be considered for Fall (September) admission. All applicants are considered for financial aid, without a separate financial aid application. The Master's application deadline is January 15 for Fall (September).
 
 While most students are admitted in the Fall, the department does consider a very small number of applicants for Spring admission. Applications for Spring (January) admission should be received by August 1. Applicants for Spring admission should understand that there will be few, if any, opportunities for fellowships and assistantships, since most are awarded in the Fall. There are no Summer admissions."
"California State University, East Bay",MS in CS,http://catalog.csueastbay.edu/preview_program.php?catoid=19&poid=7757&returnto=12552,http://catalog.csueastbay.edu/content.php?catoid=19&navoid=12577#admission-procedures,"Spring - Oct 1
 Fall - May 1"
"California State University, Sacramento",MS in CS,https://www.ecs.csus.edu/csc/academic/graduateprograms.html,"March 1, 2022",March 1 2022
"California State University, Long Beach",MS in CS,https://www.csulb.edu/college-of-engineering/cecs-graduate-programs,http://www.ccpe.csulb.edu/International/about.aspx?pID=7,April 15 2022
"California State University, LA",MS in CS,http://www.calstatela.edu/ecst/cs/admission,http://www.calstatela.edu/ecst/cs/admission,Feb 15 2022
University of Cincinnati,MS in CS,https://eecs.ceas.uc.edu/graduate,https://eecs.ceas.uc.edu/graduate,Jan 15 2022
San Diego state University,MS in CS,http://www.cs.sdsu.edu/graduate-program/,http://www.cs.sdsu.edu/deadlines-for-applications-to-the-graduate-program/,"March 1, 2022"
Maryland College Park,MS in CS,https://gradschool.umd.edu/computermathematicalnatural-sciences/cmsc,https://gradschool.umd.edu/computermathematicalnatural-sciences/cmsc,December 14 2021
San Francisco State University,MS in CS,https://cs.sfsu.edu/graduate-program/core-courses-and-electives,https://cs.sfsu.edu/grad/GradApply.html,"Spring - Oct 1
 Fall - March 1"
"University of Illinois, Chicago",MS in CS,https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/ms/,http://grad.uic.edu/deadlines,"Spring - 
 July 15, 2019 - international & domestic 
 Fall - 
 Feb 15 - Final"
University of Connecticut,MS in CS,https://www.cse.uconn.edu/graduate-studies/m-s-degree-program/,https://www.cse.uconn.edu/graduate-studies/how-to-apply/,"Fall admissions deadline. Applications for Fall admission must be received by January 1.
 Spring admissions deadline. Applications for Spring admission must be received by September 1."
Arizona State University,MS in CS,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESCOMSCMS/graduate/false,https://cidse.engineering.asu.edu/forstudent/prospective-students/graduate-admissions/,"Fall - Dec 1
 Spring - Aug 1"
Boston University,MS in CS,https://www.bu.edu/cs/masters/program/,http://www.bu.edu/cs/masters/admissions/,"Fall semester admission: May 1
 No spring intake"
Rutgers,MS in CS,https://www.cs.rutgers.edu/graduate/ms-program-in-computer-science,https://www.cs.rutgers.edu/graduate/frequently-asked-questions-about-admissions,"Fall - Feb 1
 Spring - Sept 15"
Stony Brook University,MS in CS,https://www.cs.stonybrook.edu/students/Graduate-Studies/MSProgram,https://www.cs.stonybrook.edu/admissions/Graduate-Program,"Fall - Dec 1
 Spring - Aug 1
 International and domestic student applications will be accepted for the Fall 2019 MS program until January 15, 2019, but response time for late applications may be longer than usual."
Drexel University,MS in CS,https://drexel.edu/cci/academics/programs/graduate-programs/ms-in-computer-science/,https://drexel.edu/cci/admissions/graduate-professional-development/admissions-information-and-requirements/admissions-deadlines/,"Winter- Nov 1, Spring- Feb 1"
Northeastern University,MS in Computer Science,https://www.ccis.northeastern.edu/program/computer-science-ms/,"1. For fall semester admission, your application deadline is May 1 (except for the Silicon Valley and Charlotte campuses, which have a deadline of June 1).
 2. For spring semester admission, your application is due October 15.","1. For fall semester admission, your application deadline is May 1 (except for the Silicon Valley and Charlotte campuses, which have a deadline of June 1).
 2. For spring semester admission, your application is due October 15."
