University Name,Course Name,Course Link,Deadline Link,Deadline 
University of Pennsylvania,Master's in Computer and Information Technology,https://gradadm.seas.upenn.edu/masters/computer-and-information-technology-mcit/,https://gradadm.seas.upenn.edu/how-to-apply/,"Feb 1, 2022."
Columbia,Master of Software Engineering,https://mse.isri.cmu.edu/applicants/index.html,"https://mse.isri.cmu.edu/applicants/apply.html#:~:text=Official%20scores%20should%20be%20sent,be%20completed%20by%20December%2022.","Fall- Nov 19 (Early), Dec 10"
Purdue,MS in Computer Science,https://www.cs.purdue.edu/graduate/,https://www.cs.purdue.edu/graduate/admission/steps.html,"Fall- Dec 20, Spring- Oct 1"
Georgia Tech,MS in Computer Science,https://www.cc.gatech.edu/future/masters/mscs,Fall (only) Deadline - February 1st.,Fall only Feb 1
Duke University,MS in Computer Science,https://gradschool.duke.edu/academics/programs-degrees/computer-science,https://gradschool.duke.edu/admissions/application-deadlines,Jan 31 2021
"University of Michigan, Ann arbor",MS in CS,https://www.eecs.umich.edu/eecs/graduate/cse/apply/,https://www.eecs.umich.edu/eecs/graduate/cse/apply/,Jan-15
North Carolina State University,MS in Computer Science,https://www.csc.ncsu.edu/academics/graduate/degrees/ms.php,"Fall admission, all applicants: December 15
  (there is no spring admission for international applicants)","Fall admission, all applicants: December 15"
Boston University,MS in CS,https://www.bu.edu/cs/masters/program/,http://www.bu.edu/cs/masters/admissions/,"Fall semester admission: May 1
 No spring intake"
Texas A&M,MS in Computer Science,https://engineering.tamu.edu/cse/academics/degrees/ms-cs.html,https://engineering.tamu.edu/cse/academics/degrees/graduate/faq.html#status,"December 15 is the deadline for Ph.D. applications to be considered for Fall (September) admission. All applicants are considered for financial aid, without a separate financial aid application. The Master's application deadline is January 15 for Fall (September).
 
 While most students are admitted in the Fall, the department does consider a very small number of applicants for Spring admission. Applications for Spring (January) admission should be received by August 1. Applicants for Spring admission should understand that there will be few, if any, opportunities for fellowships and assistantships, since most are awarded in the Fall. There are no Summer admissions."
University of California San Diego,MS in Computer Science,https://cse.ucsd.edu/graduate/degree-programs/ms-program,https://cse.ucsd.edu/graduate/admissions,December 28 2021
UIUC,MS in CS,https://cs.illinois.edu/academics/graduate/ms-program,https://cs.illinois.edu/admissions/graduate/application-deadlines,"Early Admission Deadline – March 1, 2022"
Rutgers,MS in CS,https://www.cs.rutgers.edu/graduate/ms-program-in-computer-science,https://www.cs.rutgers.edu/graduate/frequently-asked-questions-about-admissions,"Fall - Feb 1
 Spring - Sept 15"
UC Santa Barbara,MS in CS,https://www.cs.ucsb.edu/education/grad,https://www.cs.ucsb.edu/education/grad/admissions,December 15 2021
University of Houston,MS in CS,http://www.uh.edu/nsm/computer-science/graduate/,http://www.uh.edu/nsm/computer-science/graduate/admissions/,January 15: International applicants (all visa types)
Stony Brook University,MS in CS,https://www.cs.stonybrook.edu/students/Graduate-Studies/MSProgram,https://www.cs.stonybrook.edu/admissions/Graduate-Program,"Fall - Dec 1
 Spring - Aug 1
 International and domestic student applications will be accepted for the Fall 2019 MS program until January 15, 2019, but response time for late applications may be longer than usual."
Drexel University,MS in CS,https://drexel.edu/cci/academics/programs/graduate-programs/ms-in-computer-science/,https://drexel.edu/cci/admissions/graduate-professional-development/admissions-information-and-requirements/admissions-deadlines/,"Winter- Nov 1, Spring- Feb 1"
"California State University, East Bay",MS in CS,http://catalog.csueastbay.edu/preview_program.php?catoid=19&poid=7757&returnto=12552,http://catalog.csueastbay.edu/content.php?catoid=19&navoid=12577#admission-procedures,"Spring - Oct 1
 Fall - May 1"
"California State University, Sacramento",MS in CS,https://www.ecs.csus.edu/csc/academic/graduateprograms.html,"March 1, 2022",March 1 2022
"California State University, Long Beach",MS in CS,https://www.csulb.edu/college-of-engineering/cecs-graduate-programs,http://www.ccpe.csulb.edu/International/about.aspx?pID=7,April 15 2022
"California State University, LA",MS in CS,http://www.calstatela.edu/ecst/cs/admission,http://www.calstatela.edu/ecst/cs/admission,Feb 15 2022
University of Cincinnati,MS in CS,https://eecs.ceas.uc.edu/graduate,https://eecs.ceas.uc.edu/graduate,Jan 15 2022
San Diego state University,MS in CS,http://www.cs.sdsu.edu/graduate-program/,http://www.cs.sdsu.edu/deadlines-for-applications-to-the-graduate-program/,"March 1, 2022"
Maryland College Park,MS in CS,https://gradschool.umd.edu/computermathematicalnatural-sciences/cmsc,https://gradschool.umd.edu/computermathematicalnatural-sciences/cmsc,December 14 2021
San Francisco State University,MS in CS,https://cs.sfsu.edu/graduate-program/core-courses-and-electives,https://cs.sfsu.edu/grad/GradApply.html,"Spring - Oct 1
 Fall - March 1"
"University of Illinois, Chicago",MS in CS,https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/ms/,http://grad.uic.edu/deadlines,"Spring - 
 July 15, 2019 - international & domestic 
 Fall - 
 Feb 15 - Final"
University of Connecticut,MS in CS,https://www.cse.uconn.edu/graduate-studies/m-s-degree-program/,https://www.cse.uconn.edu/graduate-studies/how-to-apply/,"Fall admissions deadline. Applications for Fall admission must be received by January 1.
 Spring admissions deadline. Applications for Spring admission must be received by September 1."
