University Name,Program,University Link ,Deadline Link,Deadline
Indiana University,MS Data Science,https://datascience.indiana.edu/programs/residential/index.html,https://datascience.indiana.edu/programs/residential/index.html,Fall only- Jan 15
UT Dallas,MS in Statistics and Data Science,https://www.utdallas.edu/fact-sheets/nsm/ms-statistics/,https://graduate-admissions.utdallas.edu/steps-to-admission/fees-and-deadlines/,"Fall- Jan 15, May 1
Spring- May 15, Oct 1"
Cal State East Bay,MS Statistics- DS Concentration,https://catalog.csueastbay.edu/preview_program.php?catoid=19&poid=7660,https://catalog.csueastbay.edu/content.php?catoid=19&navoid=12577,"Spring- Oct 1, Fall- May 1"
Indiana University,MS Data Science,https://datascience.indiana.edu/programs/residential/index.html,https://datascience.indiana.edu/programs/residential/index.html,Fall only- Jan 15
Northeastern,Master of Science in Data Science,https://www.northeastern.edu/graduate/program/master-of-science-in-data-science-5256/,https://www.northeastern.edu/graduate/program/master-of-science-in-data-science-5256/,"Fall - March 15
 May 1
 Spring - Oct 15"
University of San Francisco,MS in Data Science,https://www.usfca.edu/arts-sciences/graduate-programs/data-science,https://www.usfca.edu/arts-sciences/graduate-programs/data-science,"Fall only- Priority Deadline - December 5th
 Final Deadline - March 1st"
University of Arizona,MS in Statistics and Data Science,https://grad.arizona.edu/catalog/programinfo/STATDSMS,https://grad.arizona.edu/catalog/programinfo/STATDSMS,"Spring- Dec 1 (Program Permission first needed), Fall- Jan 1"
University at Buffalo,MS Engineering Science- DS,http://www.buffalo.edu/academics/degree_programs.host.html/content/authoritative/grad/programs/engineering-science-data-science-ms.detail.html,https://www.buffalo.edu/icds/programs-and-degrees/MS/admissions.html,"Spring: October 1,
Fall: February 15"
Univeristy of Virginia,MS DS,https://datascience.virginia.edu/degrees/msds,https://datascience.virginia.edu/msds/admissions/deadlines,"Fall only- Jan 6, 2022"
DePaul,MS DS,https://www.cdm.depaul.edu/academics/Pages/MS-in-Data-Science.aspx,https://www.cdm.depaul.edu/academics/Pages/MS-in-Data-Science.aspx,"Fall: June 15,
Spring: January 15,
Summer: April 15,
Winter: October 15"
Illinois Institute of Tech,MS DS,https://www.iit.edu/academics/programs/data-science-mas,https://engineeringcas.liaisoncas.org/apply/,"Fall, Summer 2022: September 9, 2021"
San Jose State University,MS DS,https://www.sjsu.edu/science/special-programs/ms-data-science.php,https://www.sjsu.edu/admissions/graduate/deadlines/international-deadlines/index.php,"Fall: Opens October 1 of each year,
Spring: Opens August 1 of each year,
Summer: Opens November 1 of each year"
Boston University,MS in Applied Data Analytics,https://www.bu.edu/met/degrees-certificates/ms-applied-data-analytics/,https://www.bu.edu/met/admissions/apply-now/,"Spring only:
December 15, 2021"
UIUC,MASTER OF SCIENCE IN STATISTICS,https://stat.illinois.edu/academics/graduate-programs/degree-programs/ms-statistics,https://stat.illinois.edu/admissions/international-applicants,"MS Fall Admission – April 1
 MS Spring Admission – September 15"
TAMU,MS in DS,https://tamids.tamu.edu/msds/,https://tamids.tamu.edu/msds/,Fall- May 31
UC Santa Cruz,MS in Data Science,https://datascience.ucsc.edu/home,https://economics.ucsc.edu/academics/graduate-program/masters/admissions/index.html,Fall- Feb 3
