University Name,Program,University Link ,Deadline Link,Deadline
Georgia Tech,MS in Analytics,https://www.analytics.gatech.edu/,https://www.analytics.gatech.edu/apply,March 15
UC B,Master of Engineering (Data Science and Systems concentration),https://eecs.berkeley.edu/academics/graduate/industry-programs/meng,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng,Fall- Jan 6
Stanford,MS in Statistics: Data Science,https://statistics.stanford.edu/academics/ms-statistics-data-science,https://statistics.stanford.edu/admissions/prospective-graduate-students,Fall- Dec 1
Harvard,MS in Data Science,https://www.seas.harvard.edu/programs/graduate/applied-computation/master-of-science-in-data-science,https://www.seas.harvard.edu/programs/graduate/applied-computation/master-of-science-in-data-science/data-science-faqs,Fall- Dec 15
Carnegie Mellon University,MCDS,https://mcds.cs.cmu.edu/,https://mcds.cs.cmu.edu/apply-mcds-program,"Nov 19, Dec 10"
Duke University,MIDS,https://datascience.duke.edu/,https://datascience.duke.edu/,Fall- Feb 15
Columbia University,MS Data Science,https://datascience.columbia.edu/master-of-science-in-data-science,https://datascience.columbia.edu/master-of-science-in-data-science,Fall only- Feb 15
NYU,MS in Data Science,https://cds.nyu.edu/ms-overview/,https://cds.nyu.edu/admissions/ms-requirements/12/,Fall only- Jan 22
TAMU,MS in DS,https://tamids.tamu.edu/msds/,https://tamids.tamu.edu/msds/,Fall- May 31
UC Santa Cruz,MS in Data Science,https://datascience.ucsc.edu/home,https://economics.ucsc.edu/academics/graduate-program/masters/admissions/index.html,Fall- Feb 3
University of Southern California,MS in CS ( Data Science),https://www.cs.usc.edu/academic-programs/masters/data-science/,https://viterbigradadmission.usc.edu/programs/masters/apply/,"Fall- Dec 15 (Scholarship deadline), Jan 15 (Final)"
Boston University,The Master of Science in Computer Science concentration in Data Analytics,http://www.bu.edu/met/programs/graduate/computer-science/data-analytics/,http://www.bu.edu/met/admissions/international-students/,Write to the university
Purdue,Master of Science in Business Analytics and Information Management,https://krannert.purdue.edu/masters/programs/business-analytics-and-information-management/,https://krannert.purdue.edu/masters/programs/business-analytics-and-information-management/admissions/home.php,"Application Round 1 (Early Round) is September 1 – November 15.
 Application Round 2 (Priority Round) is November 16 – January 15.
 Application Round 3 (Final International Round) is January 16 – March 1.
 Application Round 4 (Final Domestic Round) is March 2 – April 1, or until classes are full."
UIUC,MASTER OF SCIENCE IN STATISTICS,https://stat.illinois.edu/academics/graduate-programs/degree-programs/ms-statistics,https://stat.illinois.edu/admissions/international-applicants,"MS Fall Admission – April 1
 MS Spring Admission – September 15"
Cornell,MS ORIE,https://tech.cornell.edu/programs/masters-programs/master-in-operations-research-and-information-engineering/,https://tech.cornell.edu/admissions/meng-application/,Priority deadlibe - December 31st 2021
Indiana University,MS Data Science,https://datascience.indiana.edu/programs/residential/index.html,https://datascience.indiana.edu/programs/residential/index.html,Fall only- Jan 15
Northeastern,Master of Science in Data Science,https://www.northeastern.edu/graduate/program/master-of-science-in-data-science-5256/,https://www.northeastern.edu/graduate/program/master-of-science-in-data-science-5256/,"Fall - March 15
 May 1
 Spring - Oct 15"
University of San Francisco,MS in Data Science,https://www.usfca.edu/arts-sciences/graduate-programs/data-science,https://www.usfca.edu/arts-sciences/graduate-programs/data-science,"Fall only- Priority Deadline - December 5th
 Final Deadline - March 1st"
UT Dallas,MS in Statistics and Data Science,https://www.utdallas.edu/fact-sheets/nsm/ms-statistics/,https://graduate-admissions.utdallas.edu/steps-to-admission/fees-and-deadlines/,"Fall- Jan 15, May 1
Spring- May 15, Oct 1"
University of Arizona,MS in Statistics and Data Science,https://grad.arizona.edu/catalog/programinfo/STATDSMS,https://grad.arizona.edu/catalog/programinfo/STATDSMS,"Spring- Dec 1 (Program Permission first needed), Fall- Jan 1"
Cal State East Bay,MS Statistics- DS Concentration,https://catalog.csueastbay.edu/preview_program.php?catoid=19&poid=7660,https://catalog.csueastbay.edu/content.php?catoid=19&navoid=12577,"Spring- Oct 1, Fall- May 1"
