University Name,Program,University Link ,Deadline Link,Deadline
"IIT, Chicago",MSITM- HCI Specialization,http://bulletin.iit.edu/graduate/colleges/applied-technology/department-information-technology-management/master-information-technology-management/#specializationstext,http://bulletin.iit.edu/graduate/colleges/applied-technology/department-information-technology-management/master-information-technology-management/#specializationstext,"Spring- Oct 1, Jan 15
 Fall- Jan 31, Aug 15"
"University of Illinois, Chicago",MSIS,https://catalog.uic.edu/gcat/colleges-schools/business-administration/mis/ms/,https://catalog.uic.edu/gcat/colleges-schools/business-administration/mis/ms/,Fall Feb 15 for International students
Boston University,MS in Computer Information Systems,https://www.bu.edu/met/degrees-certificates/ms-computer-information-systems/,https://www.bu.edu/met/admissions/apply-now/,Fall- August 1
Northeastern University,MSIS,https://www.northeastern.edu/graduate/program/master-of-science-in-information-systems-boston-5278/,https://www.northeastern.edu/graduate/program/master-of-science-in-information-systems-boston-5278/,"Fall - Jan 15 (early Action)
May 15

Spring - Sept 15
"
"SUNY, Buffalo",MS in MIS,http://mgt.buffalo.edu/degree-programs/master-of-science-ms/information-systems.html,http://mgt.buffalo.edu/degree-programs/master-of-science-ms/information-systems/admissions.html,"Spring 2021- Oct 1, Fall 2021- Nov 15, Feb 8"
Syracuse,MSIM,https://ischool.syr.edu/academics/graduate/masters-degrees/ms-in-information-management/,https://ischool.syr.edu/academics/admissions/,"Fall - Feb 1 (priority deadline), June 1
Spring - Oct 15, Dec 15
"
Rutgers,MS in Information System ,https://www.business.rutgers.edu/faculty-research/management-science-information-systems,https://www.business.rutgers.edu/information-technology-analytics/admissions,"Fall :March 15th
Spring : October 1st"
University Of Cincinnati,MSIS,https://business.uc.edu/academics/specialized-masters/information-systems.html,https://business.uc.edu/academics/admissions/ms-information-systems.html,"Fall:International Priority: November 30
International Final: January 31 (applications received after this date will be reviewed subject to space availability)
"
"University of Texas, Dallas ",MS in ITM,https://www.utdallas.edu/admissions/graduate/degrees/detail.php?d=541,https://www.utdallas.edu/admissions/graduate/steps-to-admission/fees-and-deadlines/,"Fall : January 15th (Early  Application)
May 1st
Spring- Oct 1"
Texas A&M,MIS  ,https://mays.tamu.edu/ms-management-information-systems/,https://mays.tamu.edu/ms-management-information-systems/,"Fall only- Dec 1, Feb 15"
Drexel University,MIS,https://drexel.edu/cci/academics/graduate-programs/ms-in-information-systems/,https://drexel.edu/grad/programs/cci/information-systems/,June 13
University of Arizona,Masters in Management Information Systems,https://eller.arizona.edu/programs/masters/mis/mis,https://eller.arizona.edu/programs/masters/mis/mis/admissions,Fall- Jan 15
UT Arlington,MSIS,https://www.uta.edu/academics/schools-colleges/business/departments/information-systems-and-operations-management/master-of-science-information-systems,https://www.uta.edu/admissions/apply/graduate,"Fall- March 15, Spring- Aug 15"
NJIT,MS in Information Systems,https://informatics.njit.edu/ms-information-systems-msis,http://www.njit.edu/admissions/grad-dates-deadlines,Fall- May 1
NYU,MSIS,https://cs.nyu.edu/home/master/prospective_msis.html,https://cs.nyu.edu/home/master/prospective_admission.html,"Fall - March 1
Spring - Oct 1"
ASU,MIS,Master of Science in Information Management Home | W. P. Carey School of Business (asu.edu),MS-ISM application deadlines | W. P. Carey School of Business (asu.edu),Feb 2
University of San Francisco,MIS,USF Masters Information Systems MSIS Degree - Business Degree | Management & Technology (usfca.edu),Deadlines - Graduate Admission - School of Management | University of San Francisco (usfca.edu),"March 16, May 15"
University of Delaware,MS BA and Information Management,Business Analytics and Information Management (M.S.) | Lerner | University of Delaware (udel.edu),Applying to the M.S. in Business Analytics and Information Management | Lerner | University of Delaware (udel.edu),On a rolling basis
University of Memphis,MSIS,MSIS Program - BIT - The University of Memphis,Graduate Admissions - Graduate Admissions - The University of Memphis,Please write an email to the university
Texas State University,MS DA and Information Systems,Data Analytics and Information Systems : The Graduate College : Texas State University (txstate.edu),Important Document Information : The Graduate College : Texas State University (txstate.edu),Please write an email to the university
