University Name,Program,University Link ,Deadline Link,Deadline
Penn State University,MIS,https://harrisburg.psu.edu/business-administration/information-systems/master-science-information-systems,https://harrisburg.psu.edu/admissions/graduate-admissions,Spring- September 30
UC Berkeley,MIMS,https://www.ischool.berkeley.edu/programs/mims,https://www.ischool.berkeley.edu/programs/mims/admissions,Jan 6th 2022
UIUC,MSIM,https://ischool.illinois.edu/degrees-programs/ms-information-management,https://ischool.illinois.edu/degrees-programs/ms-information-management/apply,Fall- Feb 1
Boston University,MS in Computer Information Systems,https://www.bu.edu/met/degrees-certificates/ms-computer-information-systems/,https://www.bu.edu/met/admissions/apply-now/,Fall- August 1
Texas A&M,MIS  ,https://mays.tamu.edu/ms-management-information-systems/,https://mays.tamu.edu/ms-management-information-systems/,"Fall only- Dec 1, Feb 15"
University of Washington,MSIM,https://ischool.uw.edu/programs/msim,https://ischool.uw.edu/programs/msim/admissions/apply,"Fall- Jan 15, March 15, May 31"
Carnegie Mellon University,MISM,https://www.heinz.cmu.edu/programs/information-systems-management-master/,https://www.heinz.cmu.edu/admissions/information-systems-management/,Fall- Jan 10
Northeastern University,MSIS,https://www.northeastern.edu/graduate/program/master-of-science-in-information-systems-boston-5278/,https://www.northeastern.edu/graduate/program/master-of-science-in-information-systems-boston-5278/,"Fall - Jan 15 (early Action)
May 15

Spring - Sept 15
"
University of Washington,MSIM,https://ischool.uw.edu/programs/msim,https://ischool.uw.edu/programs/msim/admissions/apply,"Fall- Jan 15, March 15, May 31"
UNC Chapell Hill,MSIS,https://sils.unc.edu/programs/graduate/msis,https://sils.unc.edu/programs/graduate/admissions#deadlines,Dec 1
"SUNY, Buffalo",MS in MIS,http://mgt.buffalo.edu/degree-programs/master-of-science-ms/information-systems.html,http://mgt.buffalo.edu/degree-programs/master-of-science-ms/information-systems/admissions.html,"Spring 2021- Oct 1, Fall 2021- Nov 15, Feb 8"
UT Austin,MSITM,https://www.mccombs.utexas.edu/Master-of-Science-in-Information-Technology-Management,https://www.mccombs.utexas.edu/Master-of-Science-in-Information-Technology-Management/Admissions/Application-Process,"Oct 21 (first deadline), Jan 27 (final deadline)"
University of Southern California,MS in Computer Science (Scientists and Engineers),https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-scientists-engineers/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-scientists-engineers/,"Fall- December 15th, January 15th
"
NYU,MSIS,https://cs.nyu.edu/home/master/prospective_msis.html,https://cs.nyu.edu/home/master/prospective_admission.html,"Fall - March 1
Spring - Oct 1"
Syracuse,MSIM,https://ischool.syr.edu/academics/graduate/masters-degrees/ms-in-information-management/,https://ischool.syr.edu/academics/admissions/,"Fall - Feb 1 (priority deadline), June 1
Spring - Oct 15, Dec 15
"
University of Houston,MS in Management Information Systems,https://www.bauer.uh.edu/graduate-studies/prospective-students/ms-mis/,https://www.uh.edu/technology/students/prospective-students/graduate-applicants/admissions/index,"Fall - April 1
 Spring - Oct 1"
Rutgers,MS in Information System ,https://www.business.rutgers.edu/faculty-research/management-science-information-systems,https://www.business.rutgers.edu/information-technology-analytics/admissions,"Fall :March 15th
Spring : October 1st"
UNC Chapell Hill,MSIS,https://sils.unc.edu/programs/graduate/msis,https://sils.unc.edu/programs/graduate/admissions#deadlines,12th January
University of Maryland College Park,MSIS,https://www.rhsmith.umd.edu/stem-eligible,https://www.rhsmith.umd.edu/programs/ms-information-systems/admissions#deadline,11th September
University Of Cincinnati,MSIS,https://business.uc.edu/academics/specialized-masters/information-systems.html,https://business.uc.edu/academics/admissions/ms-information-systems.html,"Fall:International Priority: November 30
International Final: January 31 (applications received after this date will be reviewed subject to space availability)
"
"University of Texas, Dallas ",MS in ITM,https://www.utdallas.edu/admissions/graduate/degrees/detail.php?d=541,https://www.utdallas.edu/admissions/graduate/steps-to-admission/fees-and-deadlines/,"Fall : January 15th (Early  Application)
May 1st
Spring- Oct 1"
"IIT, Chicago",MSITM- HCI Specialization,http://bulletin.iit.edu/graduate/colleges/applied-technology/department-information-technology-management/master-information-technology-management/#specializationstext,http://bulletin.iit.edu/graduate/colleges/applied-technology/department-information-technology-management/master-information-technology-management/#specializationstext,"Spring- Oct 1, Jan 15
 Fall- Jan 31, Aug 15"
"University of Illinois, Chicago",MSIS,https://catalog.uic.edu/gcat/colleges-schools/business-administration/mis/ms/,https://catalog.uic.edu/gcat/colleges-schools/business-administration/mis/ms/,Fall Feb 15 for International students
NYU,MSIS,https://cs.nyu.edu/home/master/prospective_msis.html,https://cs.nyu.edu/home/master/prospective_admission.html,"Fall - March 1
Spring - Oct 1"
