University Name,Program,University Link ,Deadline Link,Deadline,
"IIT, Chicago",MSITM- HCI Specialization,http://bulletin.iit.edu/graduate/colleges/applied-technology/department-information-technology-management/master-information-technology-management/#specializationstext,http://bulletin.iit.edu/graduate/colleges/applied-technology/department-information-technology-management/master-information-technology-management/#specializationstext,"Spring- Oct 1, Jan 15
 Fall- Jan 31, Aug 15",
"University of Illinois, Chicago",MSIS,https://catalog.uic.edu/gcat/colleges-schools/business-administration/mis/ms/,https://catalog.uic.edu/gcat/colleges-schools/business-administration/mis/ms/,Fall Feb 15 for International students,
Northeastern University,MSIS,https://www.northeastern.edu/graduate/program/master-of-science-in-information-systems-boston-5278/,https://www.northeastern.edu/graduate/program/master-of-science-in-information-systems-boston-5278/,"Fall - Jan 15 (early Action)
May 15

Spring - Sept 15
",
University Of Cincinnati,MSIS,https://business.uc.edu/academics/specialized-masters/information-systems.html,https://business.uc.edu/academics/admissions/ms-information-systems.html,"Fall:International Priority: November 30
International Final: January 31 (applications received after this date will be reviewed subject to space availability)
",
Drexel University,MIS,https://drexel.edu/cci/academics/graduate-programs/ms-in-information-systems/,https://drexel.edu/grad/programs/cci/information-systems/,June 13,
University of Arizona,Masters in Management Information Systems,https://eller.arizona.edu/programs/masters/mis/mis,https://eller.arizona.edu/programs/masters/mis/mis/admissions,Fall- Jan 15,
NJIT,MS in Information Systems,https://informatics.njit.edu/ms-information-systems-msis,http://www.njit.edu/admissions/grad-dates-deadlines,Fall- May 1,
"University of Texas, Dallas ","University of Texas, Dallas ",MS in ITM,https://www.utdallas.edu/admissions/graduate/degrees/detail.php?d=541,https://www.utdallas.edu/admissions/graduate/steps-to-admission/fees-and-deadlines/,"Fall : January 15th (Early  Application)
May 1st
Spring- Oct 1"
ASU,MIS,Master of Science in Information Management Home | W. P. Carey School of Business (asu.edu),MS-ISM application deadlines | W. P. Carey School of Business (asu.edu),Feb 2,
University of San Francisco,MIS,USF Masters Information Systems MSIS Degree - Business Degree | Management & Technology (usfca.edu),Deadlines - Graduate Admission - School of Management | University of San Francisco (usfca.edu),"March 16, May 15",
University of Delaware,MS BA and Information Management,Business Analytics and Information Management (M.S.) | Lerner | University of Delaware (udel.edu),Applying to the M.S. in Business Analytics and Information Management | Lerner | University of Delaware (udel.edu),On a rolling basis,
University of Memphis,MSIS,MSIS Program - BIT - The University of Memphis,Graduate Admissions - Graduate Admissions - The University of Memphis,Please write an email to the university,
Texas State University,MS DA and Information Systems,Data Analytics and Information Systems : The Graduate College : Texas State University (txstate.edu),Important Document Information : The Graduate College : Texas State University (txstate.edu),Please write an email to the university,
Oklahoma State University,MIS,"Management Information Systems and Information Assuarance, MS | Oklahoma State University (okstate.edu)","Management Information Systems and Information Assuarance, MS | Oklahoma State University (okstate.edu)",March 1,
Georgia State,MIS,Master of Science in Information Systems - J. Mack Robinson College of Business (gsu.edu),Application Process - Master of Science in Information Systems - J. Mack Robinson College of Business (gsu.edu),"Feb 1 (Priority)- Fal, Spring- Sep 1, Oct 1",
